range,file,scored,accuracy,gold_counts,pred_counts
001-020,E1b_OUTPUT_ROWS_001_020(1).jsonl,20,0.9,"{""C"": 5, ""S"": 6, ""I"": 7, ""S*"": 2}","{""C"": 5, ""S"": 8, ""I"": 6, ""S*"": 1}"
021-040,E1b_OUTPUT_ROWS_021_040(1).jsonl,20,0.65,"{""C"": 4, ""S"": 14, ""S*"": 1, ""I"": 1}","{""S"": 18, ""C"": 1, ""I"": 1}"
041-060,E1b_OUTPUT_ROWS_041_060(1).jsonl,20,0.8,"{""S"": 15, ""I"": 5}","{""S"": 19, ""I"": 1}"
061-080,E1b_OUTPUT_ROWS_061_080(1).jsonl,20,0.7,"{""S"": 13, ""I"": 7}","{""S"": 19, ""I"": 1}"
081-100,E1b_OUTPUT_ROWS_081_100(1).jsonl,20,0.85,"{""S"": 17, ""I"": 3}","{""S"": 20}"
101-120,E1b_OUTPUT_ROWS_101_120(1).jsonl,20,0.65,"{""S"": 12, ""I"": 8}","{""S"": 19, ""I"": 1}"
121-140,E1b_OUTPUT_ROWS_121_140(1).jsonl,20,0.8,"{""S"": 16, ""I"": 4}","{""S"": 20}"
141-160,E1b_OUTPUT_ROWS_141_160(1).jsonl,20,0.6,"{""I"": 7, ""S"": 13}","{""S"": 19, ""I"": 1}"
161-180,E1b_OUTPUT_ROWS_161_180(1).jsonl,20,0.8,"{""S"": 17, ""C"": 3}","{""S"": 17, ""C"": 3}"
181-200,E1b_OUTPUT_ROWS_181_200(1).jsonl,20,0.9,"{""S"": 16, ""S*"": 2, ""I"": 1, ""C"": 1}","{""S"": 18, ""I"": 1, ""C"": 1}"
201-219,E1b_OUTPUT_ROWS_201_219(1).jsonl,19,0.8947368421052632,"{""S"": 14, ""I"": 1, ""C"": 2, ""S*"": 2}","{""S"": 16, ""I"": 1, ""C"": 2}"
